CustomerID,history_size,true_future_items,top10_recs,hits
12689,34,38,"[22661, 22551, 22554, 21731, 21156, 23206, 22382, 23292, 20719, 22367]",10
12691,21,2,"[21731, 'POST', np.str_('85032C'), np.str_('85185B'), np.str_('84625A'), np.str_('85232A'), np.str_('85132B'), np.str_('22191'), np.str_('22409'), np.str_('22031')]",2
12695,21,3,"[23284, np.str_('85231B'), 22357, np.str_('51014L'), np.str_('85014A'), np.str_('84596G'), np.str_('85039B'), np.str_('85135C'), np.str_('22939'), np.str_('21107')]",2
12700,167,57,"[22551, 23191, 22661, 22553, 22556, 22555, 22554, 22355, 23192, 23244]",10
12704,58,11,"[21731, 23084, 20750, 'POST', 85066, 23146, np.str_('85183B'), 22597, np.str_('72800E'), np.str_('72807B')]",7
12705,209,47,"[23307, '85049E', 21154, 23245, 22328, 22331, 22326, 21429, 22726, 22492]",10
12709,91,18,"[23298, 22626, 21094, 22980, 21592, 22907, 22726, 22728, 23212, 21485]",10
12714,167,68,"[22400, 22402, 22403, 22662, 21914, 22437, 23209, 22436, 22348, 22326]",10
12716,45,24,"[22431, 22328, 22437, 47566, 'POST', 22303, 21706, 22302, 23505, '79191C']",10
12719,18,21,"[22111, 21790, 23368, 'POST', 21914, 21791, 23366, 22376, 22951, 23077]",10
12720,192,57,"[22144, 23296, 23307, 22554, 21883, 21080, 23247, '85099B', 21533, 23203]",10
12723,35,28,"[22809, 22970, 21470, 22750, 22751, 22940, 22971, 21471, 23371, 22616]",10
12724,41,8,"[23084, 'POST', 23199, 20712, 22385, np.str_('85061W'), '85099C', np.str_('85049E'), np.str_('84030E'), np.str_('84536B')]",6
12726,49,36,"[21122, 21121, 22531, 22550, 21912, 22964, 22333, 22437, 22080, 22435]",10
12727,91,23,"[22557, 22553, 21559, 22492, 'POST', 22556, 22727, 16218, 22466, 22730]",10
12731,107,22,"[21889, 22662, 84879, 21524, 23084, 22699, 20682, 22988, 22382, 20685]",10
12747,38,14,"['82494L', 85062, '85123A', 22120, 21745, 82482, 82484, 21754, '85099F', 82486]",10
12748,1490,850,"[22483, 22488, 22489, 22464, 22467, 22469, 22470, '85123A', 22441, 22449]",10
12749,113,67,"[23307, 22171, 22558, 23244, 22993, 23110, 23111, 23112, 22722, 22720]",10
12753,114,31,"[22549, 20750, 21439, 23245, 23237, 23238, 23240, 22489, 21216, 22621]",10
12757,236,17,"[84375, 22113, 23238, 23239, 23240, 23209, 22662, 23367, 23368, 23197]",10
12766,198,22,"[84375, 23319, 21430, 22600, 23357, 22139, 20725, 22114, 22138, 20728]",10
12775,36,14,"[22831, 'POST', 22776, 23434, 35970, 23144, np.str_('85231B'), np.str_('47591D'), 23221, 22158]",8
12778,35,8,"[21108, 'POST', 22421, 20719, 20723, np.str_('47504H'), 22065, np.str_('72349B'), np.str_('85183A'), np.str_('15044D')]",6
12782,73,14,"[21891, 22355, 23209, 22620, 22139, 'POST', 20750, 23108, 23398, np.str_('85136A')]",9
12783,63,17,"[22692, 23284, 23108, 'POST', np.str_('85036C'), 22203, 23302, 22366, np.str_('85184C'), 22690]",8
12787,15,4,"[23201, 'POST', 23344, 23203, np.str_('72351A'), np.str_('72800E'), np.str_('85232A'), np.str_('72586'), np.str_('21159'), np.str_('21094')]",4
12798,6,1,"[23084, np.str_('84968C'), np.str_('16169E'), np.str_('15060B'), np.str_('85186C'), np.str_('72803A'), np.str_('85049C'), np.str_('85186A'), np.str_('84520B'), np.str_('85176')]",1
12820,47,12,"[22592, 22086, 84946, 23313, 22186, 84836, 22791, 22600, 21098, 23323]",10
12826,57,7,"[23200, 22086, 21930, 23344, 20727, np.str_('75049L'), np.str_('85185B'), np.str_('84971S'), np.str_('84968C'), np.str_('84536A')]",5
12827,17,5,"[22907, 22138, 22139, np.str_('85032C'), np.str_('15044D'), '46000S', np.str_('79030D'), np.str_('35004C'), np.str_('21802'), np.str_('21041')]",4
12828,36,18,"[22851, 37446, 22865, 22866, 22111, 23355, '46000S', 22867, 21108, '47591D']",10
12839,80,61,"[22212, 22064, 21164, 22059, 22366, 37448, 23399, 23158, 21871, 21137]",10
12841,200,51,"[22668, '85123A', 22571, 15036, 22083, 22087, 22593, 21679, 22086, 23265]",10
12856,136,70,"[22144, 23307, 22551, 22554, 21012, 22418, 23200, 23328, 22555, 23322]",10
12865,58,37,"[21175, 22029, 22845, 22348, 20718, 82483, 22846, 22847, 23290, 22966]",10
12867,206,103,"[22029, 82482, 22568, 22077, 85048, 21070, 23208, 23209, 22712, 23202]",10
12877,44,67,"[22661, 23242, 15036, 23076, 20719, 20723, 22355, 21154, 23281, '35004B']",10
12882,5,8,"[23284, 48187, 20685, 21524, np.str_('85032B'), 22692, np.str_('85061W'), 48184, np.str_('47599B'), '48173C']",7
12883,19,23,"[20914, 22111, 23400, 22470, 48194, 23284, 23298, 22469, 85066, 21108]",10
12901,29,9,"[84991, 84378, 22993, 23294, 21787, 84077, 22440, 22935, 22651, np.str_('72760B')]",9
12904,32,35,"[21135, '82494L', 23147, 35961, 21340, 23146, 23148, 22167, np.str_('85032A'), 35970]",9
12906,47,16,"[21731, 23309, 22900, 23505, 22992, 22970, 23081, 22616, np.str_('85071B'), 23084]",9
12910,46,8,"[22273, 23206, 22568, 23209, 20970, 20969, np.str_('84926E'), np.str_('85185B'), np.str_('85136A'), np.str_('22813')]",6
12912,7,12,"[23084, 23177, 22910, 22697, 22698, 23085, 21481, 23029, 23171, 23172]",10
12913,12,28,"[84946, 22910, 22086, 22186, 22457, 22187, 22083, 23202, 22469, 21810]",10
12919,29,15,"[35970, 23366, 23109, 22457, 22077, 22621, 21259, 22596, 23493, 22453]",10
12921,229,68,"[21888, 22273, 23298, 21889, 22150, 84879, '84970S', 23188, 22551, 22554]",10
12925,23,22,"[21731, 23320, 23192, 21791, 22620, 21891, 23311, 22906, 84077, 23352]",10
12931,28,5,"[23203, 21479, 22197, 22564, 23215, np.str_('85184C'), np.str_('85183A'), np.str_('85232D'), np.str_('15044A'), np.str_('84569A')]",5
12933,48,57,"[21931, '72349B', 23192, '85035C', 22910, 22897, 22652, '85036C', 22583, 22144]",10
12935,58,35,"[22418, '85099B', 23199, 22558, 22961, 21210, 20971, 21212, 22898, '47591D']",10
12936,33,27,"[23077, 22910, 22086, 22158, 22553, 23300, 22554, 84836, 23344, 22295]",10
12937,42,60,"[22555, 22554, 21135, 22669, 22457, 22585, 22189, 22557, 20727, 22382]",10
12948,78,10,"[23313, 22086, 22144, 22141, 22734, 21257, 22910, 23493, 21258, np.str_('47574A')]",9
12951,39,18,"[23203, 22910, 22807, 22379, 22077, 23273, 84347, 22457, 23343, 22144]",10
12952,55,18,"[22722, 23294, 23293, 22867, 23336, 22847, 22624, 22627, 23335, 22865]",10
12955,81,36,"[22536, 22560, 21915, 22295, 22800, 23083, 23129, 22489, 22090, 22492]",10
12957,146,75,"[22568, 22436, 22439, 23077, 22434, 22563, 22178, 23240, 22326, 20979]",10
12962,11,5,"[23119, 22083, np.str_('85071B'), np.str_('85049A'), 23084, np.str_('79030D'), np.str_('85040A'), 21680, np.str_('47594B'), np.str_('84912B')]",4
12963,31,50,"[22663, 85150, 21181, '17107D', 23344, 22139, 22621, 21136, 22273, 22600]",10
12970,8,108,"[22910, 23298, 22720, 23344, 22960, 22907, 21080, 23202, 21790, 22993]",10
12971,90,26,"[22810, 22576, 22574, 22580, 22090, 22086, 22595, 22594, 22593, 22464]",10
12989,18,26,"[23284, 22041, 21137, 23300, 22621, 84077, 20727, 22966, 22138, 22732]",10
12991,22,9,"[np.str_('85032B'), np.str_('51014A'), np.str_('17091J'), 23535, 23534, np.str_('15056N'), np.str_('84795B'), np.str_('23155'), np.str_('22313'), np.str_('21469')]",2
12993,23,3,"[22910, 22086, np.str_('85061W'), np.str_('72760B'), 22578, np.str_('POST'), np.str_('84849A'), np.str_('22518'), np.str_('22521'), np.str_('21219')]",3
12994,38,20,"[85053, 48187, 22993, 22960, 22424, '16161P', 21890, '85032B', 22078, 22621]",10
12997,41,10,"['85123A', 21232, 21231, 22457, 35961, 23157, np.str_('85032C'), 23271, 22597, np.str_('84030E')]",8
13001,154,33,"[21754, 22285, 22411, 21174, '15056N', 21390, 22138, '82494L', 82583, 21035]",10
13004,254,44,"[23307, 21400, 23204, 21790, 21328, 21327, 21670, 22697, 22851, 23367]",10
13012,52,27,"[23298, 22413, 23076, 82583, 82484, 15036, 47566, 22993, 23336, 22424]",10
13013,150,17,"[22114, 47566, 22952, 22909, 22910, 23311, 21169, 22835, 22738, '84029G']",10
13014,66,9,"[21258, 22667, 21259, 21232, 22423, 21257, 22061, 37450, 37449, np.str_('84032B')]",9
13018,297,42,"[22144, 22150, 21914, 23191, 22072, 23085, 21790, 21535, 23201, 21791]",10
13021,67,42,"[22314, 20750, 20749, 23355, 20969, 21485, 20972, 21181, 23162, np.str_('85035C')]",9
13026,18,14,"[21111, np.str_('85099C'), 22546, 22756, 22755, 22644, 22547, 22753, np.str_('85159B'), 22758]",8
13028,24,21,"['85183B', 21932, '85183A', 21933, 35923, np.str_('85071B'), 22383, 20719, 21993, 23204]",9
13030,50,28,"[22900, 21621, 23505, 84946, 23200, 23319, 23165, 22197, 22897, 22988]",10
13040,21,22,"[84879, 22720, 20971, 22142, 22909, 20972, 35970, 22867, 23165, 22722]",10
13048,69,30,"[22151, 22158, 23201, '85099B', 23205, 21931, 22727, 22189, 22726, 20718]",10
13050,233,37,"[23301, 22151, 22666, 22158, 23203, 23313, 21791, 23321, 82484, 22464]",10
13058,4,2,"[23313, 22776, np.str_('84970S'), np.str_('47504H'), np.str_('84030E'), np.str_('85159B'), np.str_('47599A'), np.str_('15058A'), np.str_('84509G'), np.str_('85132A')]",2
13064,37,20,"[10135, '82494L', 82482, 17003, 82483, '72351B', 21914, 22621, 22560, 21889]",10
13066,28,20,"['82494L', 22457, 22989, 21498, 22900, 21156, 22297, 82580, 82484, 23393]",10
13068,1,1,"['85099C', np.str_('85032A'), np.str_('35810A'), np.str_('85114B'), np.str_('84625A'), np.str_('23203'), np.str_('23145'), np.str_('22399'), np.str_('22754'), np.str_('21291')]",1
13069,256,41,"[23202, 23201, 23200, 23199, 21172, 22581, 82551, 23005, 22121, 22380]",10
13077,61,49,"[22834, 21790, 21791, 22867, 22621, 20668, 22865, 22866, 22633, np.str_('84279P')]",9
13078,94,26,"[21889, 84879, 22682, 22197, 22568, 23084, 22654, 22728, 22725, 22468]",10
13079,2,2,"[np.str_('72802B'), np.str_('23177'), np.str_('22781'), np.str_('22500'), np.str_('22472'), np.str_('22440'), np.str_('22138'), np.str_('35971'), np.str_('20969'), np.str_('21621')]",0
13081,489,63,"['84030E', 22662, 22026, 22306, 20961, 23206, 22952, 23209, 22966, '15044D']",10
13083,14,4,"[22752, 22779, 22780, np.str_('85231B'), np.str_('46000M'), 21982, np.str_('85032C'), np.str_('72351A'), np.str_('85032D'), np.str_('79066K')]",4
13089,625,134,"[22029, '84970S', 23084, 82482, 82483, 82484, 22077, 23112, 22086, 22629]",10
13090,92,14,"[35970, 21731, 23084, 84879, 22617, 22138, 22398, 22622, 23311, 48187]",10
13094,4,2,"[84946, 22791, np.str_('85071A'), np.str_('17091J'), np.str_('84459A'), np.str_('22519'), np.str_('21591'), np.str_('21870'), np.str_('22326'), np.str_('23193')]",2
13098,153,47,"[22585, 48184, 84949, 23292, 23545, 23013, 23343, 23209, 23207, 23208]",10
13102,119,27,"[23084, 22738, 22629, 22993, 22197, 22630, 22910, 23318, 22952, 23234]",10
13104,14,4,"[35970, 23196, 21137, np.str_('84997D'), np.str_('84596B'), np.str_('85199S'), np.str_('85159B'), np.str_('17107D'), np.str_('85036A'), np.str_('85114B')]",3
13113,95,8,"[21430, 20685, '47591D', 22457, 21080, 21217, 23275, 22061, np.str_('85049A'), np.str_('84509A')]",8
13115,84,22,"[22273, 22274, '16161U', 23206, 23207, 23208, 23209, 15036, 21058, 22749]",10
13117,57,10,"[22457, np.str_('85032B'), np.str_('85071A'), np.str_('46000M'), 23275, np.str_('84519B'), 22153, 20668, 22578, np.str_('15044A')]",5
13118,40,31,"[21876, 21868, 22371, 22186, 22382, 20726, 20728, 22384, 20727, 23209]",10
13126,97,30,"[22059, 21109, 22509, 22465, 21411, 22464, 22596, 22757, 22723, 22742]",10
13131,22,13,"[22382, 22988, 20725, 22326, 22328, 21791, 21889, 23204, 23311, 21790]",10
13137,310,103,"[22549, 22563, 21535, '85071A', '85014B', 22086, 21080, 21669, 21670, 21668]",10
13138,29,8,"[21259, 22568, 20971, 20969, 20970, 22150, 22566, 22595, np.str_('84519B'), np.str_('47593B')]",8
13139,129,7,"[23200, 23301, 23084, 20712, 22385, np.str_('72807C'), np.str_('85071C'), np.str_('84459A'), np.str_('23547'), np.str_('21061')]",5
13147,1,1,"[79321, np.str_('84970S'), np.str_('85159B'), np.str_('84596F'), np.str_('85049C'), np.str_('85049F'), np.str_('85206A'), np.str_('15058C'), np.str_('84849B'), np.str_('23226')]",1
13149,58,22,"[82484, 22457, 22763, 22488, 22186, 22185, np.str_('46000M'), 10135, 22338, 22596]",9
13159,95,23,"[22595, 21912, 23319, 22969, 21136, 23374, 21620, 20676, 21242, 23318]",10
13167,42,11,"[22178, 17003, 22632, 23439, 22694, 22784, np.str_('85032C'), np.str_('72807C'), np.str_('84569A'), np.str_('47566B')]",6
13171,35,10,"[23265, 23263, 21745, 22469, 23266, 22578, 22577, 23029, 23035, np.str_('79030D')]",9
